#SIZE			CYCLES

16			122283			
32			776599			
48			2975695			
64			7168266			
80			12219438			
96			21057121			
112			33165306			
128			49378803			
144			70172196			
160			96152890			
176			128111676			
192			166358778			
208			211084315			
224			263713033			
240			323993055			
256			393375042			
272			471705688			
288			559704855			
304			657628090			
320			766897312			
336			890125522			
352			1021500070			
368			1166862291			
384			1325576323			
400			1498357933			
416			1685367526			
432			1886667991			
448			2104639564			
464			2338419789			
480			2589050205			
496			2856848982			
512			3142904547			
528			3446364840			
544			3769391205			
560			4112929956			
576			4474300975			
592			4856950417			
608			5261458953			
624			5699128716			
640			6137291854			
656			6609443134			
672			7105449057			
688			7625484346			
704			8172868660			
720			8743421499			
736			9336560041			
752			9957427320			
768			10607289504			
784			11284458183			
800			11988809017			
816			12729887431			
832			13490892549			
848			14285354809			
864			15110778169			
880			15962529099			
896			16849303825			
912			17769565888			
928			18721913862			
944			19712136390			
960			20728447021			
976			21786021207			
992			22874698320			
1008			24010623934			
1024			25160538795			
1040			26362609339			
1056			27618872589			
1072			28890473611			
1088			30206099952			
1104			31585663033			
1120			33001927200			
1136			34472192616			
1152			35920711963			
1168			37478163069			
1184			39069003742			
1200			40667053812			
1216			42397917502			
1232			44124338383			
1248			45887042109			
1264			47683034569			
1280			49575878235			
1296			51504378817			
1312			53429459868			
1328			55471477840			
1344			57540154153			
1360			59625056431			
1376			61785103855			
1392			63964222698			
1408			66245416539			
1424			68573571928			
1440			70907006656			
1456			73313848948			
1472			75759881335			
1488			78278226271			
1504			80856546379			
1520			83462676253			
1536			86163986578			
1552			88890921817			
1568			91656196941			
1584			94506779293			
1600			97412354832			
1616			100386566473			
1632			103378743720			
1648			106456846455			
1664			109575110473			
1680			112776935394			
1696			116028081901			
1712			119352992841			
1728			122726215729			
1744			126182293011			
